ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,categories
0345292561,6.0,Skye O'Malley,Bertrice Small,1980,Ballantine Books,Fiction
0345293002,8.5,Gateway,Frederik Pohl,1980,Ballantine Books,Human-alien encounters
0345293010,7.666666666666667,Ringworld,Larry Niven,1981,Ballantine Books,Fiction
0345293029,8.666666666666666,Protector,Niven,1981,Not Avail,Child rearing
0345293568,6.666666666666667,Beloved,Bertrice Small,1983,Ballantine Books,Fiction
0345294459,7.6,Chameleon,William Diehl,1988,Ballantine Books,Interpersonal conflict
0345294726,5.0,Voyage from Yesteryear,James Patrick Hogan,1982,Del Rey Books,Science fiction
0345294823,8.333333333333334,China Men,Maxine Hong Kingston,1981,Ballantine Books,Fiction
0345294963,6.0,The Case of the Lazy Lover,Erle Stanley Gardner,1997,Ballantine Books,Fiction
0345295161,8.5,Lammas Night,Katherine Kurtz,1988,Ballantine Books,Fiction
034529520X,7.0,The Curse of the Witch-Queen,Paula Volsky,1982,Del Rey Books,Fiction
0345295390,7.0,Priest-Kings of Gor,J. Norman,1981,Del Rey Books,Fiction
0345296044,8.833333333333334,The Hobbit: Or There and Back Again,J. R. R. Tolkien,1981,Ballantine Books,Juvenile Fiction
0345296664,8.75,Dragonquest,Anne Mccaffrey,1980,Ballantine Books,Fiction
0345297318,7.0,Rendezvous with Rama,Arthur C. Clarke,1981,Del Rey Books,Rama (Imaginary space vehicle)
0345298292,7.0,Under Pressure,Frank Herbert,1978,Del Rey Books,Music
0345298349,7.375,Gorky Park,Martin Cruz Smith,1993,Ballantine Books,Fiction
0345298667,10.0,Sounding,Hank Searls,1982,Ballantine Books,Music
034529873X,7.8,Moreta: Dragonlady of Pern,Anne McCaffrey,1991,Del Rey Books,Dragons
0345298748,9.6,Moreta: Dragonlady of Pern,Anne McCaffrey,1983,Ballantine Books,Dragons
0345298810,5.0,The Tolkien Reader,J. R. R. Tolkien,1999,Ballantine Books (Mm),Adventure stories
0345298969,7.0,The Beast,Jonathan Fast,1982,Ballantine Books,Social Science
0345300610,8.0,The Vagabond,Colette,1982,Ballantine Books,Fiction
0345300742,8.4,Source of Magic,Piers Anthony,1981,Ballantine Books,Fiction
034530103X,8.0,Have Spacesuit Will Travel,Robert A. Heinlein,1983,Del Rey Books,Fiction
0345301048,9.0,Starman Jones,Robert A. Heinlein,1982,Del Rey Books,Fiction
0345301110,7.5625,Story of O,Pauline Reage,1989,Ballantine Books,Fiction
0345301706,7.666666666666667,Disturb Not the Dream,Paula Trachtman,1982,Ballantine Books,Fiction
0345301757,7.5,Decision At Doona,Anne Mccaffrey,1981,Ballantine Books,Fiction
0345302486,7.5,Millennium,Ben Bova,1982,Ballantine Books,Fiction
034530280X,8.0,The Tar-Aiym Krang,Alan Dean Foster,1987,Del Rey Books,Fiction
0345303059,8.333333333333334,2010: Odyssey Two,Arthur Clarke,1982,Ballantine Books,Human-computer interaction
0345303067,7.413793103448276,2010: Odyssey Two,Arthur C. Clarke,1984,Del Rey Books,Human-computer interaction
0345304691,6.0,Ringworld Engineers,Larry Niven,1981,Del Rey Books,Fiction
0345304926,5.0,Sunlight Dialogues,John Champlin Gardner,1974,Ballantine Books,Fiction
0345305183,8.333333333333334,On a Pale Horse,Piers Anthony,1984,Ballantine Books,Fiction
0345305493,7.0,Code of the Lifemaker,James P. Hogan,1995,Del Rey Books,Fiction
0345305736,5.0,Kudzu,Doug Marlette,1982,Ballantine Books,Fiction
0345305779,9.0,Get Off the Unicorn,Anne McCaffrey,1982,Del Rey Books,Fiction
0345306171,5.666666666666667,The Love Letters,Madeleine L'Engle,1983,Ballantine Books,Businesswomen
0345306317,7.0,Space Cadet,Robert A. Heinlein,1982,Not Avail,Fiction
0345306341,7.666666666666667,Ringworld,Larry Niven,1982,Del Rey Books,Fiction
0345306384,7.5,Somewhere in Time,Matheson,1982,Not Avail,Fiction
034530652X,8.0,Phantom Lady,Cornell Woolrich,1982,Ballantine Books,Biography & Autobiography
0345306929,9.666666666666666,Silmarillion,J R R Tolkien,1982,Ballantine Books,Fiction
0345306953,5.0,Intimate Strangers,Thelma Olshaker,1983,Ballantine Books,Psychology
0345307720,5.0,Gallipoli,Alan Moorehead,1982,Ballantine Books,History
0345307763,8.0,Dinosaur Planet,McCaffrey,1982,Not Avail,Fiction
0345308530,5.0,Tidal Wave,Roberta Latow,1983,Ballantine Books,History
034530988X,7.956521739130435,Friday,Robert Heinlein,1988,Del Rey Books,Fiction
034530988x,8.0,Friday,Robert Heinlein,1988,Del Rey Books,Fiction
0345310594,7.5,Interview with the Vampire,Anne Rice,1981,Ballantine Books,Fiction
0345311396,6.916666666666667,Private Screening,Richard North Patterson,1994,Ballantine Books,Fiction
0345311485,8.285714285714286,On the Beach,NEVIL SHUTE,1983,Ballantine Books,Fiction
0345312007,8.0,The Tree of Hands,Ruth Rendell,1995,Fawcett Books,Fiction
034531221X,7.2,Lincoln,Gore Vidal,1985,Ballantine Books,Fiction
0345312554,5.0,Strangers in the Land,Milt MacHlin,1985,Ballantine Books,History
0345313216,8.666666666666666,The Source of Magic,Piers Anthony,1979,Del Rey Books,Fiction
0345313585,8.0,1984: Spring a Choice of Futures,Arthur Clarke,1984,Ballantine Books,"Civilization, Modern"
0345313755,7.888888888888889,Texas Fury,FERN MICHAELS,1989,Ballantine Books,Fiction
0345314034,5.0,More Classic Italian Cooking,Marcella Hazan,1984,Ballantine Books,"Cookery, Italian"
0345314271,8.0,Bible and Sword : England and Palestine from the Bronze Age to Balfour,BARBARA W. TUCHMAN,1984,Ballantine Books,History
0345314425,10.0,Daughter of Regals and Other Tales,Stephen R. Donaldson,1984,Ballantine Books,Fiction
0345314433,8.333333333333334,Daughter of Regals and Other Tales,STEPHEN R. DONALDSON,1985,Del Rey,Fiction
0345314484,8.444444444444445,Dragonquest,Anne McCaffrey,1983,Del Rey Books,Fiction
0345314530,5.0,Mekong!,Reeves R.,1984,Not Avail,"Vietnam War, 1961-1975"
0345314824,9.0,"I, Robot",Isaac Asimov,1983,Del Rey Books,Robots
0345314867,8.5,The Summer of Katya,Trevanian,1984,Ballantine Books,Fiction
0345314883,9.0,Jinx on a Terran Inheritance,Brian Daley,1985,Del Rey Books,Fiction
0345314905,9.5,Starhammer,Christopher Rowley,1990,Del Rey Books,"Science fiction, American"
0345314980,8.5,Berlin Game,Len Deighton,1990,Ballantine Books,Fiction
0345314999,6.0,Mexico Set,Len Deighton,1990,Ballantine Books,Intelligence service
0345315251,5.5,During the Reign of the Queen of Persia,Joan Chase,1984,Ballantine Books,Fiction
0345315499,7.666666666666667,Vengeance of the Dancing Gods,Jack L. Chalker,1990,Del Rey Books,Fiction
034531560X,7.0,Rendezvous with Rama,Arthur Charles Clarke,1984,Del Rey Books,Rama (Imaginary space vehicle)
0345316223,5.0,Mission of Gravity,Hal Clement,1989,Del Rey Books,Fiction
0345316665,7.0,Dragon's Egg,Robert L. Forward,1995,Del Rey Books,Fiction
0345316754,5.0,Ringworld,Larry Niven,1983,Ballantine Books,Fiction
0345316762,8.0,Ringworld Engineers,Larry Niven,1981,Del Rey Books,Fiction
0345316770,6.285714285714286,Almost Paradise,Susan Isaacs,1990,Ballantine Books,Juvenile Fiction
0345317211,9.0,The Cook,Harry Kressing,1984,Ballantine Books,Fiction
0345317386,9.0,The Loo Sanction,Trevanian,1991,Ballantine Books,Fiction
034531784X,3.0,"Adolf, Hitler",John Toland,1984,Ballantine Books,Juvenile Nonfiction
0345318587,9.571428571428571,The Hobbit,J R R Tolkien,1981,Ballantine Books,Juvenile Fiction
0345318595,10.0,Gateway,Frederik Pohl,1984,Ballantine Books,Human-alien encounters
034531882X,10.0,The Story of the Other Wise Man,Henry Van Dyke,1990,Ballantine Books,Christmas stories
0345319125,8.0,Protector,Niven,1984,Not Avail,Child rearing
034531980X,7.666666666666667,Sentenced to Prism,Alan Dean Foster,1991,Del Rey Books,Fiction
0345319958,6.25,Dinosaur Planet,Anne McCaffrey,1990,Del Rey Books,Fiction
0345320166,6.6,Miami Blues,CHARLES WILLEFORD,1985,Ballantine Books,Fiction
0345320298,4.5,The Ancient Engineers,Lyon Sprague De Camp,1980,Ballantine Books,Philosophy
0345320328,7.666666666666667,Fahrenheit 451,Ray Bradbury,1979,Del Rey Books,Book burning
0345320379,8.0,Tales of the City,Armistead Maupin,1984,Ballantine Books,City and town life
0345320611,4.0,Garfield: His 9 Lives,Jim Davis,1984,Ballantine Books,Humor
0345320891,6.0,Star Healer,James White,1985,Del Rey Books,Science fiction
0345322932,8.0,Living Through Personal Crisis,Ann Kaiser Stearns,1992,Ballantine Books,Psychology
0345323173,7.666666666666667,The Case of the Velvet Claws,Erle Stanley Gardner,1985,Fawcett Books,Criminal defense lawyers
0345323335,7.333333333333333,The House Next Door,Anne Rivers Siddons,1990,Ballantine Books,Fiction
0345323645,10.0,Skye O'Malley,BERTRICE SMALL,1984,Ballantine Books,Fiction
0345323858,9.0,Time for the Stars,Robert A. Heinlein,1984,Del Rey Books,Fiction
0345324412,8.2,Have Spacesuit-Will Travel,ROBERT A. HEINLEIN,1985,Del Rey,Fiction
0345324455,7.0,Midnight at the Well of Souls,Jack L. Chalker,1989,Del Rey Books,Fiction
0345324528,7.0,Restoree,McCaffrey,1985,Not Avail,Fiction
0345324927,8.25,Recipes for a Small Planet,Ellen B. Ewald,1983,Ballantine Books,Cooking
0345324978,9.0,Highway of Eternity,Clifford D. Simak,1988,Del Rey Books,Fiction
0345325206,9.0,No Night Without Stars,Andre Norton,1985,Del Rey Books,Children's stories
0345325265,7.0,Sounding,Hank Searles,1991,Ballantine Books,Music
0345325486,5.0,Light a Distant Fire,Lucia st Clair Robson,1988,Ballantine Books,Fiction
0345325613,7.0,"Pirates of the Thunder (Rings of the Master, Book 2)",Jack L. Chalker,1988,Del Rey Books,Fiction
0345325818,8.333333333333334,The Silmarillion,J.R.R. TOLKIEN,1985,Del Rey,Fiction
0345326164,7.5,With A Single Spell,Lawrence Watt-Evans,1989,Del Rey Books,Fiction
0345327128,9.0,Adventures of Sherlock Holmes,"Arthur Conan, Sir Doyle",1990,Ballantine Books,"Detective and mystery stories, English"
0345327225,8.333333333333334,"Mister God, This Is Anna",Fynn,1996,Ballantine Books,Religion
0345327454,5.857142857142857,Thai Horse,William Diehl,1997,Ballantine Books,Fiction
0345327772,6.833333333333333,Killing Orders,Sara Paretsky,1986,Ballantine Books,Fiction
0345327853,10.0,Beloved,BERTRICE SMALL,1985,Ballantine Books,Fiction
0345328175,8.0,The Day of the Triffids,John Wyndham,1986,Del Rey Books,Fiction
0345328973,8.0,Question of Max (Kate Fansler Novels (Paperback)),Amanda Cross,1984,Ballantine Books,Fiction
0345329031,7.0,All Things Are Lights,Robert Shea,1986,Ballantine Books,Fiction
0345329198,9.0,Fall of the White Ship Avatar,Brian Daley,1987,Del Rey Books,Fiction
0345329767,7.666666666666667,Remember Me,Fay Weldon,1985,Ballantine Books,Fiction
0345330048,8.0,Demon Lord of Karanda,David Eddings,1988,Ballantine Books,Fiction
0345330153,7.333333333333333,"Waldo and Magic, Inc.",Robert A. Heinlein,1994,Ballantine Books (Mm),Fiction
0345331214,10.0,Backfire,Loren Baritz,1986,Ballantine Books,Biography & Autobiography
0345331354,8.1,Cosmos,Carl Sagan,1993,Ballantine Books,Astronomy
0345331397,7.0,"I, Robot",Isaac Asimov,1989,Del Rey Books,Robots
0345331826,8.5,The Butterfly Revolution,William Butler,1993,Ballantine Books,Fiction
0345331923,8.0,The Case of the Dangerous Dowager,Erle Stanley Gardner,1989,Ballantine Books,Fiction
0345332075,10.0,The Hobbit: Or There and Back Again,J. R. R. Tolkien,1985,Not Avail,Juvenile Fiction
0345332717,10.0,The City and the Pillar,Gore Vidal,1986,Ballantine Books,Fiction
0345333578,5.6,Palm Beach,Pat Booth,1992,Ballantine Books,Travel
0345333721,7.25,Green Journey,Jon Hassler,1993,Ballantine Books,Fiction
0345333926,8.25,Ringworld,Larry Niven,1990,Del Rey Books,Fiction
0345333942,5.0,Glinda of Oz,L. FRANK BAUM,1985,Del Rey,Juvenile Fiction
0345334019,6.9,Escape the Night,Richard North Patterson,1995,Ballantine Books,Fiction
0345334205,9.0,The Outermost House: A Year of Life on the Great Beach of Cape Cod,Henry Beston,1985,Ballantine Books,Nature
0345334302,7.0,Ringworld Engineers,Larry Niven,1990,Del Rey Books,Fiction
0345334477,6.0,Your Thyroid: A Home Reference,Lawrence Wood,1990,Ballantine Books,Health & Fitness
0345334698,7.0,Tales of Known Space: The Universe of Larry Niven,Larry Niven,1992,Del Rey Books,Fiction
0345335198,8.0,Woody Guthrie: A Life,Joe Klein,1990,Ballantine Books,Biography & Autobiography
0345335325,6.5,Fortress,Gabrielle Lord,1985,Ballantine Books,Religion
0345335767,8.0,Ipcress File,Len Deighton,1993,Ballantine Books,Fiction
0345335872,8.25,Collected Stories,Tennessee Williams,1986,Ballantine Books,Fiction
0345335872,8.25,Collected Stories,Tennessee Williams,1986,Ballantine Books,Drama
0345336607,10.0,Rocket Ship Galileo,Robert Heinlein,1990,Ballantine Books (Mm),Science fiction.
0345336925,5.0,Contact: The First Four Minutes,Leonard Zunin,1994,Ballantine Books,Psychology
0345337565,8.5,Dark Fields,T.J. MacGregor,1987,Fawcett Books,Fiction
0345337662,7.778260869565218,Interview with the Vampire,Anne Rice,1993,Ballantine Books,Fiction
0345338200,8.5,The Caves of Steel,Isaac Asimov,1989,Del Rey Books,Fiction
0345338219,10.0,The Naked Sun,Isaac Asimov,1986,Del Rey Books,Fiction
0345339258,9.0,Dibs in Search of Self,Virginia M. Axline,1990,Ballantine Books,Medical
0345339967,8.4,Foundation and Earth,Isaac Asimov,1990,Del Rey Books,Fiction
0345339975,7.0,A Piece of My Heart,Keith Walker,1991,Ballantine Books,Fiction
0345340280,7.0,Living Your Past Lives: The Psychology of Past Life Regression,Karl Schlotterbeck,1991,Ballantine Books,"Body, Mind & Spirit"
0345340345,7.0,"1,000 More Jokes for Kids",Michael Kilgarriff,1991,Ballantine Books,Humor
0345340949,5.0,The Impatient Gardener's Lawn Book,Jerry Baker,1987,Ballantine Books,Gardening
0345341236,7.5,Captive Secrets,FERN MICHAELS,1991,Ivy Books,Fiction
0345342291,5.0,Cod Streuth,Bamber Gascoigne,1987,Available Press,Cannibalism
0345342445,8.0,Citizen of the Galaxy,ROBERT A. HEINLEIN,1987,Del Rey,Fiction
0345342453,9.0,Agatha Christie: An Autobiography,Agatha Christie,1986,Ballantine Books,Biography & Autobiography
0345342461,8.5,Voyage from Yesteryear,James P. Hogan,1986,Del Rey Books,Science fiction
0345342763,8.25,How to Raise a Healthy Child: In Spite of Your Doctor,Robert Mendelsohn,1990,Ballantine Books,Family & Relationships
0345342933,5.0,Hypnosis for Change,Josie Hadley,1987,Ballantine Books,Medical
0345342968,8.628048780487806,Fahrenheit 451,RAY BRADBURY,1987,Del Rey,Book burning
0345344022,5.0,Charlie Mike,Leonard B. Scott,1988,Ballantine Books,Fiction
0345344596,5.0,Regrets Only,Sally Quinn,1987,Ballantine Books,Fiction
0345344669,8.0,Little Boy Book,Sheila Moore,1987,Ballantine Books,Fiction
0345345061,8.2,The Tolkien Reader,J. R. R. Tolkien,1989,Del Rey Books,Adventure stories
0345345304,8.0,The Best Man to Die,Ruth Rendell,1991,Fawcett Books,Fiction
0345346513,7.0,Innersource: Channeling Your Unlimited Self,Kathleen Kieft,1988,Ballantine Books,Philosophy
0345346718,7.0,Murder by Impulse,D.R. Meredith,1993,Fawcett Books,Fiction
0345346831,9.0,Captive Passions,Fern Michaels,1990,Ivy Books,Fiction
0345346998,8.5,The Folk of the Air,Peter S. Beagle,1988,Del Rey Books,Young Adult Fiction
0345347099,8.0,The Traveler,John Katzenbach,1993,Ballantine Books,Fiction
0345347838,6.0,The Case of the Howling Dog,Erle Stanley Gardner,1987,Fawcett Books,Detective and mystery stories
0345347897,5.0,Sisters,Pat Booth,1989,Ballantine Books,Juvenile Nonfiction
0345348672,9.0,"The Power That Preserves (The Chronicles of Thomas Covenant the Unbeliever, Book 3)",Stephen R. Donaldson,1993,Del Rey Books,Fiction
0345349350,7.6,Get Off the Unicorn,Anne McCaffrey,1984,Del Rey Books,Fiction
0345349474,6.0,Sideswipe,Charles Willeford,1990,Ballantine Books,Fiction
0345349512,8.0,To Fear a Painted Devil,Ruth Rendell,1993,Fawcett Books,Fiction
0345350529,8.25,The Hound of the Baskervilles,"Arthur Conan, Sir Doyle",1989,Fawcett Books,Fiction
0345350588,6.818181818181818,Source of Magic (Xanth Novels (Paperback)),Piers Anthony,1990,Del Rey Books,Fiction
0345350685,8.6,The Autobiography of Malcolm X,Malcolm X,1989,Ballantine Books,Biography & Autobiography
0345351517,7.0,The Beautiful Room Is Empty,Edmund White,1989,Ballantine Books,Fiction
0345351878,8.4,Restoree,Anne McCaffrey,1990,Del Rey Books,Fiction
0345351991,5.0,The Seven Ages,Eva Figes,1988,Ballantine Books,"Life cycle, Human"
0345352378,7.0,The Obituary Arrives at Two O'Clock,Shizuko Natzuki,1988,Ballantine Books,Fiction
0345352483,7.0,The Hite Report on Male Sexuality,Shere Hite,1987,Ballantine Books,Health & Fitness
0345352955,4.0,Summer House,Cynthia Blair,1989,Ballantine Books,Fiction
0345353110,7.5,Space Cadet,Robert Heinlein,1992,Del Rey Books,Fiction
0345353129,8.333333333333334,Protector,Larry Niven,1992,Del Rey Books,Child rearing
0345353145,7.4411764705882355,Sphere,MICHAEL CRICHTON,1988,Ballantine Books,Fiction
0345353730,7.6,Tunnel in the Sky,Robert A. Heinlein,1987,Del Rey,Fiction
0345353749,8.0,A Town Like Alice,Nevil Shute,1991,Ballantine Books,Fiction
0345353773,6.0,Decision at Doona,Anne McCaffrey,1994,Del Rey Books,Fiction
0345354249,8.166666666666666,The Dragonlover's Guide to Pern,Jody Lynn Nye,1989,Ballantine Books,Dragons in literature
0345354575,5.5,Homeplace,Anne Rivers Siddons,1988,Ballantine Books,Fiction
0345354613,7.681818181818182,Eaters of the Dead,MICHAEL CRICHTON,1988,Ballantine Books,Fiction
0345354621,7.333333333333333,The Terminal Man,Michael Crichton,1988,Ballantine Books,Fiction
0345356365,7.090909090909091,The Wishsong of Shannara,Terry Brooks,1992,Del Rey Books,Elves
0345356454,8.0,Innocent Journey,Shizuko Natsuki,1989,Ballantine Books,Fiction
0345356675,5.0,Mind over Murder,William X. Kienzle,1994,Fawcett Books,Fiction
0345357213,5.0,Everywoman's Medical Handbook,Miriam Dr. Stoppard,1989,Ballantine Books,Women
0345358783,7.0,Texas Triumphant,Daniel Da Cruz,1989,Del Rey Books,Fiction
0345359321,7.555555555555555,Travels,Michael Crichton,1989,Ballantine Books,Fiction
0345359534,5.0,Rusalka,C.J. Cherryh,1989,Del Rey Books,Music
0345360133,10.0,Tales of the Dark Knight,Mark Cotta Vaz,1989,Ballantine Books,Fiction
0345360338,9.4,Falls the Shadow,Sharon Kay Penman,1989,Ballantine Books,Fiction
0345360761,7.0,A World of Difference,HARRY TURTLEDOVE,1990,Del Rey,Fiction
0345361571,7.111111111111111,A Book of Angels,SOPHY BURNHAM,1990,Wellspring/Ballantine,"Body, Mind & Spirit"
0345361881,1.0,Raising Positive Kids in a Negative World,Zig Ziglar,1992,Ballantine Books,Family & Relationships
034536208X,8.125,Fair and Tender Ladies,Lee Smith,1989,Ballantine Books,Fiction
0345362454,7.0,Twins,Roxanne Pulitzer,1991,Ballantine Books,Psychology
0345362454,7.0,Twins,Roxanne Pulitzer,1991,Ballantine Books,JUVENILE FICTION
0345362500,9.0,"They Went That-A-Way: How the Famous, the Infamous, and the Great Died",Malcolm Forbes,1989,Ballantine Books,Biography & Autobiography
0345362683,7.0,The Fifth Garfield Treasury,Jim Davis,1992,Ballantine Books,Humor
034536273X,8.0,Hail to the Chiefs: Or How to Tell Your Polks from Your Tylers,Barbara Holland,1990,Ballantine Books,History
0345363116,9.0,End of the Circle (Robotech #18),Jack McKinney,1989,Del Rey Books,Fiction
0345363132,9.333333333333334,The Sunne in Splendour,Sharon Kay Penman,1990,Ballantine Books,Fiction
0345365186,10.0,Poppy,Barbara Larriva,1990,Ballantine Books,Children's stories
0345366204,8.0,Masquerade,William X. Kienzle,1991,Fawcett Books,Australian drama
0345366212,7.0,Chameleon,William X. Kienzle,1992,Fawcett Books,Interpersonal conflict
0345367081,9.0,Chili Dawgs Always Bark at Night,LEWIS GRIZZARD,1990,Ballantine Books,Humor
0345367413,7.75,Setting Free the Bears,John Irving,1990,Ballantine Books,Fiction
034536743X,7.1,The 158-Pound Marriage,John Irving,1994,Ballantine Books,Fiction
0345367650,7.0,Polar Star,MARTIN CRUZ SMITH,1990,Ballantine Books,Fiction
0345368096,9.0,The Passion of the Western Mind: Understanding the Ideas That Have Shaped Our World View,Richard Tarnas,1993,Ballantine Books,Philosophy
0345368754,7.666666666666667,Foucault's Pendulum,Umberto Eco,1990,Ballantine Books,Fiction
0345368762,7.6,Maiden Voyage,Tania Aebi,1991,Ballantine Books,Travel
0345368924,9.333333333333334,All the Weyrs of Pern,Anne McCaffrey,1991,Ballantine Books,Fiction
0345368940,8.8,The Dolphins of Pern,Anne McCaffrey,1994,Ballantine Books,Fiction
0345369270,9.0,The Case of the Lucky Legs,Erle S. Gardner,1990,Ballantine Books,Criminal defense lawyers
0345369343,8.285714285714286,Rusalka,C.J. Cherryh,1990,Del Rey Books,Music
0345370619,7.0,More Stupid Jokes for Kids,Michael Kilgarriff,1991,Ballantine Books,Juvenile Nonfiction
0345370724,9.0,Killer Diller,Clyde Edgerton,1992,Ballantine Books,Fiction
0345370732,6.0,The Hunt,William Diehl,1996,Ballantine Books,Young Adult Fiction
0345370775,7.85,Jurassic Park,Michael Crichton,1999,Ballantine Books,Fiction
0345371291,4.0,Temptation,Cynthia Blair,1994,Ballantine Books,Fiction
0345371984,8.8,Last Chance to See,Douglas Adams,1992,Ballantine Books,Nature
0345372050,7.9,You Just Don't Understand,DEBORAH TANNEN,1991,Ballantine Books,Psychology
0345372700,9.5,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground",LEWIS GRIZZARD,1991,Ballantine Books,Humor
0345373243,8.0,Belgarath the Sorcerer,David Eddings,1995,Ballantine Books,Fiction
0345373294,9.666666666666666,To Have and to Hold,Michaels,1995,Ivy Books,History
0345373294,9.666666666666666,To Have and to Hold,Michaels,1995,Ivy Books,Family & Relationships
0345373928,7.0,"Love, Remember Me",Bertrice Small,1994,Ballantine Books,Fiction
0345374622,5.0,Lost and Found,Marilyn Harris,1992,Ballantine Books,Biography & Autobiography
0345374622,5.0,Lost and Found,Marilyn Harris,1992,Ballantine Books,Juvenile Nonfiction
0345375351,5.666666666666667,Show of Evil,William Diehl,1995,Ballantine Books,Fiction
034537536X,7.25,Show of Evil,William Diehl,1996,Ballantine Books,Fiction
0345375610,9.0,Light a Distant Fire,Lucia St. Clair Robson,1992,Ballantine Books,Fiction
0345376714,9.0,The Autobiography of Malcolm X,Malcolm X,1992,Ballantine Books,Biography & Autobiography
0345376951,5.0,China Lake,Anthony Hyde,1993,Ballantine Books,Nature
0345377087,7.5,Dear James,Jon Hassler,1995,Ballantine Books,Biography & Autobiography
0345377362,6.0,The Looking Glass War,John Le Carre,1992,Ballantine Books,Young Adult Fiction
0345377370,8.333333333333334,The Spy Who Came in from the Cold,John Le Carre,1996,Ballantine Books,Fiction
0345378016,6.0,Trick or Treat,Lesley Glaister,1993,Ballantine Books,Health & Fitness
0345378024,9.0,Happy Endings,Sally Quinn,1993,Ballantine Books,Crafts & Hobbies
0345378156,7.666666666666667,My Lives,Roseanne,1994,Ballantine Books,Biography & Autobiography
0345378482,7.6,The Andromeda Strain,MICHAEL CRICHTON,1992,Ballantine Books,Fiction
0345378490,7.255102040816326,Congo,Michael Crichton,1995,Ballantine Books,Political Science
0345378881,9.666666666666666,The Reckoning,SHARON KAY PENMAN,1992,Ballantine Books,History
0345379020,5.0,Ghost King (Stones of Power),David Gemmell,1996,Del Rey Books,Fiction
034537942X,5.0,Entoverse,James P. Hogan,1992,Del Rey Books,Fiction
034537942x,6.0,Entoverse,James P. Hogan,1992,Del Rey Books,Fiction
0345379438,10.0,Yvgenie,C.J. Cherryh,1992,Del Rey Books,Fiction
0345379667,6.666666666666667,Travels,Michael Crichton,1993,Ballantine Books,Fiction
0345379756,7.5,The Autobiography of Malcolm X,Malcolm X,1992,Ballantine Books,Biography & Autobiography
0345380517,9.0,Cat Scratch Fever,Tara K. Harper,1994,Del Rey Books,Fiction
0345380525,8.0,Cataract,Tara K. Harper,1995,Del Rey Books,Health & Fitness
0345380533,8.666666666666666,Grayheart,Tara K. Harper,1996,Del Rey Books,Fiction
0345381033,8.0,Another Good Loving Blues,Arthur Flowers,1994,Ballantine Books,Fiction
0345381831,9.0,The Cheetah Chase,Karin McQuillan,1994,Ballantine Books,Animal rights activists
0345382897,8.5,The Rising of the Moon,Flynn Connolly,1993,Del Rey Books,Drama
0345383230,6.4,Photographing Fairies,Steve Szilagyi,1993,Ballantine Books,Fiction
0345383389,7.428571428571429,Where Angels Walk: True Stories of Heavenly Visitors,Joan Wester Anderson,1993,Ballantine Books,"Body, Mind & Spirit"
0345383885,7.0,The Tale of the Body Thief,Anne Rice,1993,Ballantine Books,Fiction
0345384202,7.833333333333333,"I, Tituba, Black Witch of Salem",Maryse Conde,1994,Ballantine Books,Fiction
034538430X,7.5,TickTock,Dean R. Koontz,1997,Ballantine Books,Fiction
0345384733,6.8,Red Square,Martin Cruz Smith,1993,Ballantine Books,Fiction
0345384903,7.0,Our Father,Marilyn French,1995,Ballantine Books,Religion
0345386108,6.852941176470588,Winter Moon,Dean R. Koontz,1995,Ballantine Books,Fiction
0345386132,7.545454545454546,Eyes of a Child,Richard North Patterson,1996,Ballantine Books,Religion
034538623X,10.0,The Guns of August,Barbara W. Tuchman,1994,Ballantine Books,History
034538623x,7.0,The Guns of August,Barbara W. Tuchman,1994,Ballantine Books,History
0345386574,9.166666666666666,A Woman's Worth,Marianne Williamson,1994,Ballantine Books,Self-Help
0345387813,7.166666666666667,Power Play,Anne McCaffrey,1996,Del Rey Books,Business & Economics
0345388216,8.571428571428571,Dragonseye (Dragonriders of Pern Series),Anne McCaffrey,1997,Ballantine Books,Fiction
0345388259,8.4,Nimisha's Ship,Anne McCaffrey,1999,Ballantine Books,Fiction
0345388453,6.0,20-Minute Yoga Workouts,American Yoga Association,1995,Wellspring/Ballantine,Health & Fitness
034538850X,10.0,"Gods of the Well of Souls (The Watchers at the Well , No3)",Jack L. Chalker,1995,Del Rey Books,Characters and characteristics in literature
0345388526,7.0,"In the Balance (Worldwar Series, Volume 1)",HARRY TURTLEDOVE,1994,Del Rey,Fiction
0345388593,5.4,Angel,Barbara Taylor Bradford,1995,Ballantine Books,"Body, Mind & Spirit"
0345388771,8.5,Primal Fear,William Diehl,1996,Ballantine Books,Fiction
0345388879,7.75,Don't Get Me Started,Kate Clinton,1998,Ballantine Books,Country life
0345389905,5.0,Glass People,Gail Godwin,1996,Ballantine Books,Fiction
0345389964,7.222222222222222,A Son of the Circus,John Irving,1995,Ballantine Books,Fiction
0345389980,7.166666666666667,"Tilting the Balance (Worldwar Series, Volume 2)",Harry Turtledove,1996,Del Rey Books,Fiction
0345390105,10.0,Forged in Honor,Leonard B. Scott,1996,Ballantine Books,Fiction
0345390180,2.0,Wanderer,Donald E. McQuinn,1994,Del Rey Books,Europe
0345390199,10.0,King of the Mountain,M. K. Wren,1995,Fawcett Books,Political Science
0345390792,10.0,A Moment in Time,Bertrice Small,1994,Ballantine Books,Religion
0345390938,6.0,I Took a Lickin' and Kept on Tickin' (And Now I Believe in Miracles),LEWIS GRIZZARD,1994,Ballantine Books,Heart
